epoch,accuracy,auc,false_negatives,false_positives,loss,lr,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.49424999952316284,0.49270787835121155,981.0,1042.0,1.0935558080673218,0.050498728,0.4944201707839966,0.5095000267028809,958.0,1019.0,0.5,0.5605025291442871,0.0,1000.0,0.796954870223999,0.5,1.0,0.0,1000.0
1,0.5242499709129333,0.5295003056526184,944.0,959.0,0.7078216075897217,0.050498728,0.5240694880485535,0.527999997138977,1041.0,1056.0,0.5019999742507935,0.5447010397911072,7.0,989.0,0.694578230381012,0.5010091066360474,0.9929999709129333,11.0,993.0
2,0.5137500166893005,0.5148808360099792,945.0,1000.0,0.7065606713294983,0.050498728,0.5133820176124573,0.5274999737739563,1000.0,1055.0,0.5335000157356262,0.5694505572319031,844.0,89.0,0.6854761838912964,0.636734664440155,0.15600000321865082,911.0,156.0
3,0.5220000147819519,0.5265777111053467,892.0,1020.0,0.7079939246177673,0.050498728,0.5206766724586487,0.5540000200271606,980.0,1108.0,0.49900001287460327,0.5699280500411987,996.0,6.0,0.7460779547691345,0.4000000059604645,0.004000000189989805,994.0,4.0
4,0.49399998784065247,0.4950336515903473,947.0,1077.0,0.715808629989624,0.050498728,0.49436619877815247,0.5264999866485596,923.0,1053.0,0.5005000233650208,0.499983012676239,0.0,999.0,0.6939740777015686,0.5002501010894775,1.0,1.0,1000.0
5,0.5037500262260437,0.5081058740615845,1031.0,954.0,0.7168945670127869,0.050498728,0.5039001703262329,0.484499990940094,1046.0,969.0,0.5,0.5447800159454346,1000.0,0.0,0.7032526731491089,0.0,0.0,1000.0,0.0
6,0.4894999861717224,0.48610901832580566,1006.0,1036.0,0.7168642282485962,0.050498728,0.48965516686439514,0.4970000088214874,964.0,994.0,0.5009999871253967,0.5307484865188599,3.0,995.0,0.6937485337257385,0.5005019903182983,0.996999979019165,5.0,997.0
7,0.5042499899864197,0.502104640007019,968.0,1015.0,0.7169278860092163,0.050498728,0.5041524171829224,0.515999972820282,985.0,1032.0,0.49900001287460327,0.49998652935028076,2.0,1000.0,0.6976073980331421,0.49949949979782104,0.9980000257492065,0.0,998.0
0,0.512499988079071,0.5154454112052917,952.0,998.0,0.7561087012290955,0.061667785,0.5122189521789551,0.5239999890327454,1002.0,1048.0,0.5,0.5470809936523438,0.0,1000.0,0.696423351764679,0.5,1.0,0.0,1000.0
1,0.5,0.5034087896347046,972.0,1028.0,0.7011902928352356,0.061667785,0.5,0.5139999985694885,972.0,1028.0,0.49950000643730164,0.5047120451927185,1000.0,1.0,0.6949873566627502,0.0,0.0,999.0,0.0
2,0.4947499930858612,0.4891822338104248,1084.0,937.0,0.699181318283081,0.061667785,0.49433350563049316,0.4580000042915344,1063.0,916.0,0.5059999823570251,0.5146459341049194,687.0,301.0,0.6936258673667908,0.509772002696991,0.31299999356269836,699.0,313.0
3,0.4909999966621399,0.493094265460968,1016.0,1020.0,0.7001821398735046,0.061667785,0.4910179674625397,0.492000013589859,980.0,984.0,0.5084999799728394,0.5346199870109558,32.0,951.0,0.6922600865364075,0.5044293999671936,0.9679999947547913,49.0,968.0
4,0.4872500002384186,0.48520398139953613,1038.0,1013.0,0.704055905342102,0.061667785,0.4870886206626892,0.48100000619888306,987.0,962.0,0.5,0.5,0.0,1000.0,0.6961690783500671,0.5,1.0,0.0,1000.0
5,0.4957500100135803,0.49436041712760925,1051.0,966.0,0.6979755163192749,0.061667785,0.4955613613128662,0.47450000047683716,1034.0,949.0,0.5,0.5,1000.0,0.0,0.6937432885169983,0.0,0.0,1000.0,0.0
6,0.49524998664855957,0.4966684877872467,997.0,1022.0,0.7036108374595642,0.061667785,0.49530863761901855,0.5015000104904175,978.0,1003.0,0.5,0.500499963760376,1000.0,0.0,0.7044515609741211,0.0,0.0,1000.0,0.0
7,0.5,0.4919447600841522,914.0,1086.0,0.7034974694252014,0.061667785,0.5,0.5429999828338623,914.0,1086.0,0.5,0.5000004768371582,1000.0,0.0,0.6936177611351013,0.0,0.0,1000.0,0.0
8,0.5042499899864197,0.5109114050865173,1092.0,891.0,0.7116498947143555,0.061667785,0.5047248601913452,0.45399999618530273,1109.0,908.0,0.5,0.5,0.0,1000.0,0.6975402235984802,0.5,1.0,0.0,1000.0
0,0.4892500042915344,0.49121609330177307,1024.0,1019.0,0.7961503267288208,0.05359645,0.48922306299209595,0.4880000054836273,981.0,976.0,0.5,0.5,1000.0,0.0,0.7505807280540466,0.0,0.0,1000.0,0.0
1,0.5007500052452087,0.49791058897972107,1006.0,991.0,0.7020652890205383,0.05359645,0.5007556676864624,0.4970000088214874,1009.0,994.0,0.5,0.5,1000.0,0.0,0.7210057377815247,0.0,0.0,1000.0,0.0
2,0.48774999380111694,0.49457353353500366,1057.0,992.0,0.7048838138580322,0.05359645,0.48733851313591003,0.4715000092983246,1008.0,943.0,0.5,0.4813545048236847,1000.0,0.0,0.6955256462097168,0.0,0.0,1000.0,0.0
3,0.4907500147819519,0.48561984300613403,1134.0,903.0,0.720964789390564,0.05359645,0.4895421266555786,0.43299999833106995,1097.0,866.0,0.5,0.47926849126815796,0.0,1000.0,2.272709846496582,0.5,1.0,0.0,1000.0
